Name,Team,Pos,Age,G,GS,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Rush_Att,Rush_Yds,Rush_TD,Fmb,FmbLost,Year,games_played_pct,games_started_pct,ProBowl,AllPro,Touches,Rec_Rec_per_game,Rec_Yds_per_game,Rec_TD_per_game,Rush_Att_per_game,Rush_Yds_per_game,Rush_TD_per_game,Fmb_per_game,FmbLost_per_game,Touches_per_game,Points_half-ppr,PPG_half-ppr,player_display_name,season,week,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_jersey_number
KaVontae Turpin,DAL,WR,28.0,17.0,2.0,31.0,420.0,2.0,13.548387096774194,16.0,92.0,0.0,3.0,1.0,2024,1.0,0.1176470588235294,0.0,0.0,47.0,1.8235294117647056,24.705882352941178,0.1176470588235294,0.9411764705882352,5.411764705882353,0.0,0.1764705882352941,0.0588235294117647,2.764705882352941,76.7,4.511764705882353,KaVontae Turpin,2024.0,10.5,7.141500000000001,4.2123391899016704,6.870571428571428,12.997617518477512,3.75,5.5,69.28571428571428,45.0,0.0,9.765833333333331,7.924069363768042,1.841763969565292,9.0
Keenan Allen,FA,WR,32.0,15.0,15.0,70.0,744.0,7.0,10.628571428571428,0.0,0.0,0.0,1.0,0.0,2024,0.8823529411764706,1.0,0.0,0.0,71.0,4.666666666666667,49.6,0.4666666666666667,0.0,0.0,0.0,0.0666666666666666,0.0,4.733333333333333,150.4,10.026666666666667,Keenan Allen,2024.0,9.785714285714286,6.234873841129372,2.905600259215997,9.744240296500037,34.57341159590151,9.571428571428571,16.857142857142858,57.60744666588823,103.14285714285714,1.0,3.839053287981859,4.08637373674562,-0.247320448763761,13.0
Keon Coleman,BUF,WR,21.0,13.0,12.0,29.0,556.0,4.0,19.17241379310345,1.0,9.0,0.0,0.0,0.0,2024,0.7647058823529411,0.9230769230769232,0.0,0.0,30.0,2.230769230769231,42.76923076923077,0.3076923076923077,0.0769230769230769,0.6923076923076923,0.0,0.0,0.0,2.3076923076923075,95.0,7.3076923076923075,Keon Coleman,2024.0,8.0,4.515126417233559,2.110488891898661,13.58654493376298,37.49627466356937,6.857142857142857,14.0,48.90082348728965,129.85714285714286,1.0,11.304963875205257,3.762807079390946,7.542156795814308,0.0
Khalil Shakir,BUF,WR,24.0,15.0,9.0,76.0,821.0,4.0,10.802631578947368,2.0,4.0,0.0,1.0,0.0,2024,0.8823529411764706,0.6,0.0,0.0,78.0,5.066666666666666,54.73333333333333,0.2666666666666666,0.1333333333333333,0.2666666666666666,0.0,0.0666666666666666,0.0,5.2,144.5,9.633333333333333,Khalil Shakir,2024.0,9.214285714285714,6.762045212217704,4.15695269904417,5.717810430839002,16.276037874512806,10.5,13.928571428571429,75.26700680272108,112.92857142857144,0.5,7.774032208497434,6.684934484548839,1.0890977239485948,10.0
Kyle Williams,NE,WR,25.0,10.0,5.0,12.0,113.0,0.0,9.416666666666666,2.0,23.0,0.0,2.0,0.0,2013,0.625,0.5,0.0,0.0,14.0,1.2,11.3,0.0,0.2,2.3,0.0,0.2,0.0,1.4,19.6,1.96,,,,,,,,,,,,,,,,
Ladd McConkey,LAC,WR,23.0,16.0,14.0,82.0,1149.0,7.0,14.01219512195122,0.0,0.0,0.0,2.0,0.0,2024,0.9411764705882352,0.875,0.0,0.0,82.0,5.125,71.8125,0.4375,0.0,0.0,0.0,0.125,0.0,5.125,197.9,12.36875,Ladd McConkey,2024.0,9.333333333333334,5.8959241439764805,3.2158762332468305,9.617451322751322,29.75048640074861,10.666666666666666,14.533333333333331,74.3015873015873,148.8,0.9333333333333332,4.917389882565492,4.1411986737532605,0.7761912088122324,15.0
Malik Nabers,NYG,WR,21.0,15.0,13.0,109.0,1204.0,7.0,11.045871559633028,5.0,2.0,0.0,1.0,0.0,2024,0.8823529411764706,0.8666666666666667,0.0,0.0,115.0,7.266666666666667,80.26666666666667,0.4666666666666667,0.3333333333333333,0.1333333333333333,0.0,0.0666666666666666,0.0,7.666666666666667,217.1,14.473333333333334,Malik Nabers,2024.0,9.3125,6.105524111432267,2.7790223534026253,9.372163528873088,45.45918618555704,13.625,21.25,64.56665475047828,150.5,0.875,4.514795234454638,3.639548001072153,0.8752472333824848,1.0
Marvin Harrison Jr.,ARI,WR,22.0,17.0,16.0,62.0,885.0,8.0,14.274193548387096,0.0,0.0,0.0,1.0,1.0,2024,1.0,0.9411764705882352,0.0,0.0,62.0,3.647058823529412,52.05882352941177,0.4705882352941176,0.0,0.0,0.0,0.0588235294117647,0.0588235294117647,3.647058823529412,165.5,9.735294117647058,Marvin Harrison Jr.,2024.0,10.2,5.008544300144299,2.1217415719267936,13.5205898989899,46.11058787421577,4.066666666666666,7.4,56.760461760461766,58.73333333333333,0.5333333333333333,2.8838000000000004,2.755537360751528,0.1282626392484724,18.0
Michael Pittman Jr.,IND,WR,27.0,16.0,14.0,69.0,808.0,3.0,11.710144927536232,0.0,0.0,0.0,1.0,1.0,2024,0.9411764705882352,0.875,0.0,0.0,69.0,4.3125,50.5,0.1875,0.0,0.0,0.0,0.0625,0.0625,4.3125,131.3,8.20625,,,,,,,,,,,,,,,,
Michael Wilson,ARI,WR,24.0,16.0,13.0,47.0,548.0,4.0,11.659574468085106,1.0,7.0,0.0,1.0,1.0,2024,0.9411764705882352,0.8125,0.0,0.0,48.0,2.9375,34.25,0.25,0.0625,0.4375,0.0,0.0625,0.0625,3.0,101.0,6.3125,Michael Wilson,2024.0,8.25,6.610011904761905,2.8141209877018944,11.297857394366195,29.96583767472377,9.875,14.625,67.83813995081601,110.0,0.625,3.3471427304964543,2.838682076883415,0.5084606536130386,14.0
