Name,Team,Pos,Age,G,GS,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Fmb,FmbLost,Year,games_played_pct,games_started_pct,ProBowl,AllPro,Touches,Rec_Rec_per_game,Rec_Yds_per_game,Rec_TD_per_game,Fmb_per_game,FmbLost_per_game,Touches_per_game,Points_half-ppr,PPG_half-ppr,player_display_name,season,week,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_jersey_number,next_year_Rec_Yds,next_year_Points_half-ppr,next_year_PPG_half-ppr
Cade Otton,TB,TE,23.0,16.0,11.0,42.0,391.0,2.0,9.30952380952381,0.0,0.0,2022,0.9411764705882352,0.6875,0.0,0.0,42.0,2.625,24.4375,0.125,0.0,0.0,2.625,72.1,4.50625,Cade Otton,2022.0,9.88888888888889,6.443937106918239,3.31815657543182,5.529815221815222,10.48171356450974,8.11111111111111,12.88888888888889,61.72975172975173,74.0,0.4444444444444444,4.479248677248677,4.107208423347999,0.3720402539006776,88.0,455.0,91.0,5.352941176470588
Cade Otton,TB,TE,24.0,17.0,17.0,47.0,455.0,4.0,9.680851063829786,1.0,1.0,2023,1.0,1.0,0.0,0.0,47.0,2.764705882352941,26.764705882352946,0.2352941176470588,0.0588235294117647,0.0588235294117647,2.764705882352941,91.0,5.352941176470588,Cade Otton,2023.0,8.5,6.7496375,3.1702491385686726,6.747916252072969,14.044814884998036,9.5,13.75,67.51865671641791,88.125,0.875,3.62721010638298,3.391630176474849,0.2355799299081301,88.0,600.0,111.1,7.935714285714285
Chigoziem Okonkwo,TEN,TE,23.0,17.0,8.0,32.0,450.0,3.0,14.0625,0.0,0.0,2022,1.0,0.4705882352941176,0.0,0.0,35.0,1.8823529411764703,26.47058823529412,0.1764705882352941,0.0,0.0,2.0588235294117645,79.2,4.658823529411765,Chigoziem Okonkwo,2022.0,10.8,7.349333333333334,3.243117808333289,6.577142028985508,13.912660498786945,9.8,13.4,77.91304347826087,130.4,0.8,7.294312500000001,5.215823817062569,2.078488682937432,85.0,528.0,86.4,5.082352941176471
Chigoziem Okonkwo,TEN,TE,24.0,17.0,11.0,54.0,528.0,1.0,9.77777777777778,0.0,0.0,2023,1.0,0.6470588235294118,0.0,0.0,56.0,3.176470588235294,31.058823529411764,0.0588235294117647,0.0,0.0,3.294117647058824,86.4,5.082352941176471,Chigoziem Okonkwo,2023.0,9.75,5.0861592261904764,3.902482237702405,7.0414776334776334,17.07866652130528,10.5,15.125,69.34163059163059,103.375,0.25,5.222250000000001,5.536231065163291,-0.3139810651632897,85.0,479.0,85.60000000000001,5.03529411764706
Dallas Goedert,PHI,TE,23.0,16.0,8.0,33.0,334.0,4.0,10.12121212121212,0.0,0.0,2018,1.0,0.5,0.0,0.0,33.0,2.0625,20.875,0.25,0.0,0.0,2.0625,73.9,4.61875,Dallas Goedert,2018.0,6.0,5.413357843137256,3.451723907162583,7.837131493506493,14.35701870803171,12.0,15.25,83.75,123.5,1.75,5.8692586580086585,5.081303181563923,0.7879554764447352,88.0,607.0,115.7,7.713333333333334
Dallas Goedert,PHI,TE,24.0,15.0,9.0,58.0,607.0,5.0,10.46551724137931,2.0,2.0,2019,0.9375,0.6,0.0,0.0,58.0,3.866666666666666,40.46666666666667,0.3333333333333333,0.1333333333333333,0.1333333333333333,3.866666666666666,115.7,7.713333333333334,Dallas Goedert,2019.0,11.0,5.89731031090122,3.062551760622969,5.139676784455855,14.817336092575704,9.727272727272728,14.363636363636363,68.21982281284608,100.1818181818182,0.7272727272727273,6.304208090759815,5.257705061683436,1.046503029076379,88.0,524.0,93.4,8.490909090909092
Dallas Goedert,PHI,TE,25.0,11.0,9.0,46.0,524.0,3.0,11.391304347826088,0.0,0.0,2020,0.6875,0.8181818181818182,0.0,0.0,46.0,4.181818181818182,47.63636363636363,0.2727272727272727,0.0,0.0,4.181818181818182,93.4,8.490909090909092,Dallas Goedert,2020.0,8.666666666666666,6.579953703703704,2.7506832491818165,8.83338305521639,20.78850919945453,9.666666666666666,13.88888888888889,68.6392619725953,109.77777777777776,0.6666666666666666,4.071022256728778,3.8607472217424377,0.2102750349863411,88.0,830.0,135.0,9.0
Dallas Goedert,PHI,TE,26.0,15.0,14.0,56.0,830.0,4.0,14.821428571428571,1.0,0.0,2021,0.8823529411764706,0.9333333333333332,0.0,0.0,56.0,3.733333333333333,55.333333333333336,0.2666666666666666,0.0666666666666666,0.0,3.733333333333333,135.0,9.0,Dallas Goedert,2021.0,8.5,6.078885714285715,3.499363031778066,9.181906077694237,27.13197918084044,10.1,13.4,77.5390559732665,148.6,0.8,6.35455119047619,5.12232189262261,1.2322292978535807,88.0,702.0,113.7,9.475
Dallas Goedert,PHI,TE,27.0,12.0,12.0,55.0,702.0,3.0,12.763636363636364,1.0,1.0,2022,0.7058823529411765,1.0,0.0,0.0,55.0,4.583333333333333,58.5,0.25,0.0833333333333333,0.0833333333333333,4.583333333333333,113.7,9.475,Dallas Goedert,2022.0,7.666666666666667,6.078450336700337,3.7375180392007374,6.156983245149912,21.081619902179632,10.88888888888889,13.77777777777778,77.02246760217776,136.44444444444446,0.4444444444444444,7.36834090909091,6.45025727304149,0.9180836360494182,88.0,592.0,106.8,7.628571428571429
Dallas Goedert,PHI,TE,28.0,14.0,14.0,59.0,592.0,3.0,10.033898305084746,0.0,0.0,2023,0.8235294117647058,1.0,0.0,0.0,60.0,4.214285714285714,42.285714285714285,0.2142857142857142,0.0,0.0,4.285714285714286,106.8,7.628571428571429,Dallas Goedert,2023.0,7.9,6.710373222912354,3.1624850963133824,5.032512856186651,13.804071569615662,10.8,15.0,74.23144960795562,107.5,0.6,5.547193704600485,4.550179548967833,0.9970141556326514,88.0,496.0,82.6,8.26
