player_display_name,season,week,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_jersey_number
A.J. Brown,2019,8.777777777777779,4.998001831501832,2.325754637662446,12.58633536833537,34.78678989598153,9.666666666666666,15.777777777777779,59.66829466829467,194.55555555555554,1.4444444444444444,8.39247792022792,4.037331536059266,4.355146384168652,11.0
A.J. Brown,2020,9.571428571428571,5.459332714904144,2.474081987863666,11.095019780496532,36.469486334246874,9.928571428571429,14.857142857142858,66.95028354394931,152.07142857142858,1.5714285714285714,6.530935374149659,3.6970724562067745,2.833862917942885,11.0
A.J. Brown,2021,8.333333333333334,6.14731712962963,2.6350328959548777,12.02975774110149,46.97580528552705,10.416666666666666,17.0,60.61132154882154,143.5,0.8333333333333334,3.7871325156325164,3.663129310596961,0.12400320503555495,11.0
A.J. Brown,2022,9.058823529411764,5.6412537527831645,2.7279247044215613,11.726542558269992,41.995406790021725,10.294117647058824,16.823529411764707,62.0012624855424,175.58823529411765,1.2941176470588236,6.811628045157456,4.55805470593715,2.2535733392203063,11.0
A.J. Brown,2023,8.25,6.725554906898657,2.5194047451572366,12.135434326068621,44.691613125743075,13.125,19.4375,69.08526380440938,180.9375,0.875,4.431080609838275,2.773165951615334,1.6579146582229405,11.0
A.J. Brown,2024,9.666666666666666,5.554569075636086,2.0931986183583664,12.542335528517874,52.20757287317465,10.666666666666666,15.5,71.50908012377084,173.25,1.1666666666666667,5.402097429519071,2.9180019259837873,2.484095503535284,11.0
A.J. Derby,2016,14.5,4.759166666666667,3.6361756739009072,7.670166666666669,9.531014032592056,4.5,5.5,83.33333333333333,46.0,0.0,3.19825,3.0611516982312548,0.13709830176874505,83.0
A.J. Derby,2017,9.0,4.984047619047619,3.391463459084227,10.914587301587304,23.57633440478814,3.6666666666666665,6.0,57.46031746031745,50.666666666666664,0.3333333333333333,5.570833333333332,5.24369729654764,0.32713603678569186,83.66666666666667
A.J. Green,2016,4.6,4.860046699716055,2.480696795357951,13.615713745143745,43.85023336762762,13.2,19.9,66.3004662004662,192.8,0.8,3.5043118686868686,4.771010095144164,-1.2666982264572948,18.0
A.J. Green,2017,8.2,5.09932400281573,2.3319810466219835,13.070071676471677,48.42084224054372,9.8,18.666666666666668,53.22900247900248,141.33333333333334,1.0666666666666667,4.462027301587302,3.659182962174667,0.8028443394126351,18.0
A.J. Green,2018,4.0,4.432357851699957,1.9563926618303265,13.11248777457111,41.07228888964785,10.11111111111111,17.0,60.28419111752445,153.44444444444446,1.3333333333333333,4.3096358408097535,3.586381255971583,0.723254584838171,18.0
A.J. Green,2020,7.615384615384615,5.32791350856283,1.6135136826085237,13.604788681404067,32.75009689160964,7.076923076923077,15.384615384615385,44.69485642562566,91.45454545454545,0.3076923076923077,1.6471308833010958,1.6044289504285623,0.04270193287253344,18.0
A.J. Green,2021,8.384615384615385,5.82779278200432,2.3983828760880352,12.016748460476721,30.20118437217925,7.846153846153846,13.461538461538462,57.39356054573446,120.76923076923077,0.46153846153846156,4.054845136345137,4.116826176307646,-0.06198103996250885,18.0
A.J. Green,2022,7.2,5.633937453562986,2.390350132858053,11.85085214454576,29.937833819401533,7.6,14.6,53.89530563998649,82.6,0.6,4.348366666666666,1.9790088218844808,2.3693578447821864,18.0
AJ Barner,2024,13.5,6.447666666666667,4.098422384309206,1.104428571428572,2.329215743461216,4.5,6.0,78.57142857142857,30.5,0.5,5.440250000000001,4.077054542576878,1.3631954574231229,88.0
Adam Humphries,2016,7.555555555555555,6.338198653198654,3.208130370902938,7.010481982876561,11.044875954464487,11.0,16.444444444444443,64.91772952616326,122.77777777777777,0.4444444444444444,6.219194725028058,5.37301188630504,0.8461828387230184,11.0
Adam Humphries,2017,7.777777777777778,7.210044973544973,3.1595654214174838,7.188024044228864,11.345538475482783,11.333333333333334,15.555555555555555,73.5435827002092,120.0,0.2222222222222222,5.089155867811605,4.3001967026887336,0.7889591651228711,10.0
Adam Humphries,2018,9.285714285714286,6.675613572622032,3.6389231469239385,5.608304988662131,9.896840451177784,10.428571428571429,14.357142857142858,72.40362811791383,106.35714285714286,0.7142857142857143,5.3683194146079485,4.762883099335376,0.6054363152725725,10.0
Adam Humphries,2019,4.4,5.925798449612403,2.7829471721278765,7.091744680851063,15.480636455109973,11.2,14.8,72.41134751773049,113.6,0.4,3.2762972972972983,3.8698690573006425,-0.5935717600033443,10.0
Adam Humphries,2020,3.0,6.292988095238096,2.9825710059600663,8.382261904761904,20.96668798809116,5.25,6.5,81.54761904761905,50.0,0.5,2.221916666666667,2.9537789146464637,-0.7318622479797972,10.0
Adam Humphries,2021,9.285714285714286,6.306214606597356,3.1724732195893286,6.206948430985298,12.753694523473204,9.142857142857142,14.142857142857142,62.015031819179285,85.57142857142857,0.0,4.168159946905591,4.775217207217702,-0.6070572603121106,13.0
Adam Shaheen,2017,14.0,4.698,3.586187410356003,9.138000000000002,18.89656313329749,4.0,5.0,80.0,44.0,1.0,3.664999999999997,4.904694563154408,-1.2396945631544103,87.0
Adam Shaheen,2021,7.0,3.1966666666666668,4.645324706232456,3.7299999999999978,7.732493055267627,4.0,5.0,80.0,23.0,0.0,1.7525000000000022,2.7192456041651667,-0.9667456041651644,80.0
Adam Thielen,2016,8.166666666666666,5.261415404040404,2.710658730352662,11.917194224857269,30.980781153581102,10.75,14.25,74.9726430976431,154.66666666666666,0.75,4.34618033988958,5.3819040983758475,-1.0357237584862669,19.0
